section,orc_dash,title,ui_label,url_slug,official_url,priority,practice_areas_pipe,keywords_pipe
2125.02,2125-02,Parties - damages,ORC 2125.02: Parties - damages,parties-damages-orc-2125-02,https://codes.ohio.gov/ohio-revised-code/section-2125.02,P2,Personal Injury,Parties - damages ohio | orc 2125.02 | personal injury ohio | car accident ohio
2305.10,2305-10,Bodily injury or injury to personal property,ORC 2305.10: Bodily injury or injury to personal property,bodily-injury-or-injury-to-personal-property-orc-2305-10,https://codes.ohio.gov/ohio-revised-code/section-2305.10,P2,Personal Injury,Bodily injury or injury to personal property ohio | orc 2305.10 | personal injury ohio | car accident ohio
2305.113,2305-113,Medical malpractice actions,ORC 2305.113: Medical malpractice actions,medical-malpractice-actions-orc-2305-113,https://codes.ohio.gov/ohio-revised-code/section-2305.113,P2,Personal Injury,Medical malpractice actions ohio | orc 2305.113 | personal injury ohio | car accident ohio
2315.18,2315-18,Compensatory damages in tort actions - factors excluded - findings or interrogatories,ORC 2315.18: Compensatory damages in tort actions - factors excluded - findings or interrogatories,compensatory-damages-in-tort-actions-factors-excluded-findings-or-interrogatories-orc-2315-18,https://codes.ohio.gov/ohio-revised-code/section-2315.18,P2,Personal Injury,Compensatory damages in tort actions - factors excluded - findings or interrogatories ohio | orc 2315.18 | personal injury ohio | car accident ohio
2315.33,2315-33,Contributory fault effect on right to recover,ORC 2315.33: Contributory fault effect on right to recover,contributory-fault-effect-on-right-to-recover-orc-2315-33,https://codes.ohio.gov/ohio-revised-code/section-2315.33,P2,Personal Injury,Contributory fault effect on right to recover ohio | orc 2315.33 | personal injury ohio | car accident ohio
2901.01,2901-01,General provisions definitions,ORC 2901.01: General provisions definitions,general-provisions-definitions-orc-2901-01,https://codes.ohio.gov/ohio-revised-code/section-2901.01,P2,Criminal Defense,General provisions definitions ohio | orc 2901.01 | dui
2901.011,2901-011,Reagan Tokes Law,ORC 2901.011: Reagan Tokes Law,reagan-tokes-law-orc-2901-011,https://codes.ohio.gov/ohio-revised-code/section-2901.011,P2,Criminal Defense,Reagan Tokes Law ohio | orc 2901.011
2901.02,2901-02,Classification of crimes,ORC 2901.02: Classification of crimes,classification-of-crimes-orc-2901-02,https://codes.ohio.gov/ohio-revised-code/section-2901.02,P2,Criminal Defense,Classification of crimes ohio | orc 2901.02
2901.03,2901-03,Abrogation of common law offenses,ORC 2901.03: Abrogation of common law offenses,abrogation-of-common-law-offenses-orc-2901-03,https://codes.ohio.gov/ohio-revised-code/section-2901.03,P2,Criminal Defense,Abrogation of common law offenses ohio | orc 2901.03
2901.04,2901-04,Rules of construction for statutes and rules of procedure,ORC 2901.04: Rules of construction for statutes and rules of procedure,rules-of-construction-for-statutes-and-rules-of-procedure-orc-2901-04,https://codes.ohio.gov/ohio-revised-code/section-2901.04,P2,Criminal Defense,Rules of construction for statutes and rules of procedure ohio | orc 2901.04
2901.05,2901-05,Burden of proof - reasonable doubt - self-defense,ORC 2901.05: Burden of proof - reasonable doubt - self-defense,burden-of-proof-reasonable-doubt-self-defense-orc-2901-05,https://codes.ohio.gov/ohio-revised-code/section-2901.05,P2,Criminal Defense,Burden of proof - reasonable doubt - self-defense ohio | orc 2901.05
2901.06,2901-06,Battered woman syndrome evidence,ORC 2901.06: Battered woman syndrome evidence,battered-woman-syndrome-evidence-orc-2901-06,https://codes.ohio.gov/ohio-revised-code/section-2901.06,P2,Criminal Defense,Battered woman syndrome evidence ohio | orc 2901.06
2901.07,2901-07,DNA specimen collection procedure,ORC 2901.07: DNA specimen collection procedure,dna-specimen-collection-procedure-orc-2901-07,https://codes.ohio.gov/ohio-revised-code/section-2901.07,P2,Criminal Defense,DNA specimen collection procedure ohio | orc 2901.07
2901.08,2901-08,Effect of adjudication of delinquency or juvenile traffic offender,ORC 2901.08: Effect of adjudication of delinquency or juvenile traffic offender,effect-of-adjudication-of-delinquency-or-juvenile-traffic-offender-orc-2901-08,https://codes.ohio.gov/ohio-revised-code/section-2901.08,P2,Criminal Defense,Effect of adjudication of delinquency or juvenile traffic offender ohio | orc 2901.08
