section,title,practice_areas_pipe,priority,official_url
2125.02,Parties - damages,Personal Injury,P2,https://codes.ohio.gov/ohio-revised-code/section-2125.02
2305.10,Bodily injury or injury to personal property,Personal Injury,P2,https://codes.ohio.gov/ohio-revised-code/section-2305.10
2305.113,Medical malpractice actions,Personal Injury,P2,https://codes.ohio.gov/ohio-revised-code/section-2305.113
2315.18,Compensatory damages in tort actions - factors excluded - findings or interrogatories,Personal Injury,P2,https://codes.ohio.gov/ohio-revised-code/section-2315.18
2315.33,Contributory fault effect on right to recover,Personal Injury,P2,https://codes.ohio.gov/ohio-revised-code/section-2315.33
2901.01,General provisions definitions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.01
2901.011,Reagan Tokes Law,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.011
2901.02,Classification of crimes,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.02
2901.03,Abrogation of common law offenses,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.03
2901.04,Rules of construction for statutes and rules of procedure,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.04
2901.05,Burden of proof - reasonable doubt - self-defense,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.05
2901.06,Battered woman syndrome evidence,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.06
2901.07,DNA specimen collection procedure,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.07
2901.08,Effect of adjudication of delinquency or juvenile traffic offender,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.08
2901.09,No duty to retreat in residence or vehicle,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.09
2901.10,Restraining pregnant women,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.10
2901.11,Jurisdiction for criminal acts,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.11
2901.12,Venue of criminal cases,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.12
2901.13,Statute of limitations for criminal offenses,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.13
2901.20,New criminal offenses; degree of mental culpability required,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.20
2901.21,"Criminal liability, culpability",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.21
2901.22,Degrees of culpability attached to mental states,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.22
2901.23,Criminal liability of organizations,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.23
2901.24,Personal liability for organizational conduct,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.24
2901.30,Missing child report,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.30
2901.31,Cooperation with federal government,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.31
2901.32,Guilty of improper solicitation of contributions for missing children,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.32
2901.41,Missing person reports policies,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.41
2901.42,Missing person report indicating foul play,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.42
2901.43,Notice of charges to be sent to retirement plan,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.43
2901.431,Notice of felony charges filed against member,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2901.431
2903.01,Aggravated murder,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.01
2903.02,Murder,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.02
